comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
split_reliability,aligned,13,joyful,reliability,,,,,,,,,0.7901099467830166,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,14,joyful,reliability,,,,,,,,,0.7919030806066728,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,15,joyful,reliability,,,,,,,,,0.7961454941319808,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,16,joyful,reliability,,,,,,,,,0.8041516512920343,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,17,joyful,reliability,,,,,,,,,0.8030744628455819,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,18,joyful,reliability,,,,,,,,,0.8050409510024378,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,19,joyful,reliability,,,,,,,,,0.8121106108115105,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,20,joyful,reliability,,,,,,,,,0.8149184280854782,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,21,joyful,reliability,,,,,,,,,0.8125864646313291,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,22,joyful,reliability,,,,,,,,,0.8114089858419804,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,23,joyful,reliability,,,,,,,,,0.8063808689540896,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,24,joyful,reliability,,,,,,,,,0.7980187755237733,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,25,joyful,reliability,,,,,,,,,0.801551420841298,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,26,joyful,reliability,,,,,,,,,0.7972127482152652,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,27,joyful,reliability,,,,,,,,,0.8018242020881657,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,28,joyful,reliability,,,,,,,,,0.7954229475957714,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,29,joyful,reliability,,,,,,,,,0.7954612000132294,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,30,joyful,reliability,,,,,,,,,0.8074365488110498,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,31,joyful,reliability,,,,,,,,,0.8223590885573195,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,32,joyful,reliability,,,,,,,,,0.8202938034191849,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,33,joyful,reliability,,,,,,,,,0.8101880955053563,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,34,joyful,reliability,,,,,,,,,0.8110603600922494,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,35,joyful,reliability,,,,,,,,,0.7980044435270279,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,36,joyful,reliability,,,,,,,,,0.8108912092192773,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,37,joyful,reliability,,,,,,,,,0.8115336897971499,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,38,joyful,reliability,,,,,,,,,0.8153667318426121,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,39,joyful,reliability,,,,,,,,,0.8166589069322202,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,40,joyful,reliability,,,,,,,,,0.8233222162250988,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,41,joyful,reliability,,,,,,,,,0.8244875577141437,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,42,joyful,reliability,,,,,,,,,0.8259416460322129,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,43,joyful,reliability,,,,,,,,,0.8233972186651886,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,44,joyful,reliability,,,,,,,,,0.8214014874164262,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,45,joyful,reliability,,,,,,,,,0.8192032118529198,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,46,joyful,reliability,,,,,,,,,0.8146025669899833,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,47,joyful,reliability,,,,,,,,,0.8155976486264483,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,0,content,reliability,,,,,,,,,0.4499453077045824,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,1,content,reliability,,,,,,,,,0.40287037313322277,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,2,content,reliability,,,,,,,,,0.3782618301307511,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,3,content,reliability,,,,,,,,,0.4030145075859863,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,4,content,reliability,,,,,,,,,0.45684250913229096,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,5,content,reliability,,,,,,,,,0.4846395334949314,raw,,,True,True,topic split A (0-9) versus split B (10-19)
