comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes,stability
cross_model_stability,cross_model,24,anxious,reliability,,,,,,,,,0.993297174953289,raw,,,True,True,aligned versus misaligned full emotion direction,0.993297174953289
cross_model_stability,cross_model,25,anxious,reliability,,,,,,,,,0.9942842654316141,raw,,,True,True,aligned versus misaligned full emotion direction,0.9942842654316141
cross_model_stability,cross_model,26,anxious,reliability,,,,,,,,,0.9907697638596972,raw,,,True,True,aligned versus misaligned full emotion direction,0.9907697638596972
cross_model_stability,cross_model,27,anxious,reliability,,,,,,,,,0.9899289986710197,raw,,,True,True,aligned versus misaligned full emotion direction,0.9899289986710197
cross_model_stability,cross_model,28,anxious,reliability,,,,,,,,,0.9843353972459301,raw,,,True,True,aligned versus misaligned full emotion direction,0.9843353972459301
cross_model_stability,cross_model,29,anxious,reliability,,,,,,,,,0.9819243231752907,raw,,,True,True,aligned versus misaligned full emotion direction,0.9819243231752907
cross_model_stability,cross_model,30,anxious,reliability,,,,,,,,,0.9836314562841644,raw,,,True,True,aligned versus misaligned full emotion direction,0.9836314562841644
cross_model_stability,cross_model,31,anxious,reliability,,,,,,,,,0.9876569763443586,raw,,,True,True,aligned versus misaligned full emotion direction,0.9876569763443586
cross_model_stability,cross_model,32,anxious,reliability,,,,,,,,,0.9878973932904692,raw,,,True,True,aligned versus misaligned full emotion direction,0.9878973932904692
cross_model_stability,cross_model,33,anxious,reliability,,,,,,,,,0.988050946919865,raw,,,True,True,aligned versus misaligned full emotion direction,0.988050946919865
cross_model_stability,cross_model,34,anxious,reliability,,,,,,,,,0.9890628809721587,raw,,,True,True,aligned versus misaligned full emotion direction,0.9890628809721587
cross_model_stability,cross_model,35,anxious,reliability,,,,,,,,,0.9897232013403873,raw,,,True,True,aligned versus misaligned full emotion direction,0.9897232013403873
cross_model_stability,cross_model,36,anxious,reliability,,,,,,,,,0.9888674702304387,raw,,,True,True,aligned versus misaligned full emotion direction,0.9888674702304387
cross_model_stability,cross_model,37,anxious,reliability,,,,,,,,,0.9887360762349978,raw,,,True,True,aligned versus misaligned full emotion direction,0.9887360762349978
cross_model_stability,cross_model,38,anxious,reliability,,,,,,,,,0.9897375669137078,raw,,,True,True,aligned versus misaligned full emotion direction,0.9897375669137078
cross_model_stability,cross_model,39,anxious,reliability,,,,,,,,,0.9904200907391956,raw,,,True,True,aligned versus misaligned full emotion direction,0.9904200907391956
cross_model_stability,cross_model,40,anxious,reliability,,,,,,,,,0.9907036405404819,raw,,,True,True,aligned versus misaligned full emotion direction,0.9907036405404819
cross_model_stability,cross_model,41,anxious,reliability,,,,,,,,,0.9907808208332657,raw,,,True,True,aligned versus misaligned full emotion direction,0.9907808208332657
cross_model_stability,cross_model,42,anxious,reliability,,,,,,,,,0.9910727947418391,raw,,,True,True,aligned versus misaligned full emotion direction,0.9910727947418391
cross_model_stability,cross_model,43,anxious,reliability,,,,,,,,,0.9919552973200989,raw,,,True,True,aligned versus misaligned full emotion direction,0.9919552973200989
cross_model_stability,cross_model,44,anxious,reliability,,,,,,,,,0.9925069544168971,raw,,,True,True,aligned versus misaligned full emotion direction,0.9925069544168971
cross_model_stability,cross_model,45,anxious,reliability,,,,,,,,,0.9916477263350645,raw,,,True,True,aligned versus misaligned full emotion direction,0.9916477263350645
cross_model_stability,cross_model,46,anxious,reliability,,,,,,,,,0.9925509785097386,raw,,,True,True,aligned versus misaligned full emotion direction,0.9925509785097386
cross_model_stability,cross_model,47,anxious,reliability,,,,,,,,,0.9945668112029578,raw,,,True,True,aligned versus misaligned full emotion direction,0.9945668112029578
cross_model_stability,cross_model,0,calm,reliability,,,,,,,,,0.9998362906714114,raw,,,True,True,aligned versus misaligned full emotion direction,0.9998362906714114
cross_model_stability,cross_model,1,calm,reliability,,,,,,,,,0.999804891338201,raw,,,True,True,aligned versus misaligned full emotion direction,0.999804891338201
cross_model_stability,cross_model,2,calm,reliability,,,,,,,,,0.9997711920152416,raw,,,True,True,aligned versus misaligned full emotion direction,0.9997711920152416
cross_model_stability,cross_model,3,calm,reliability,,,,,,,,,0.9997000229631402,raw,,,True,True,aligned versus misaligned full emotion direction,0.9997000229631402
cross_model_stability,cross_model,4,calm,reliability,,,,,,,,,0.9996489884741518,raw,,,True,True,aligned versus misaligned full emotion direction,0.9996489884741518
cross_model_stability,cross_model,5,calm,reliability,,,,,,,,,0.9993527158296762,raw,,,True,True,aligned versus misaligned full emotion direction,0.9993527158296762
cross_model_stability,cross_model,6,calm,reliability,,,,,,,,,0.9991261078786006,raw,,,True,True,aligned versus misaligned full emotion direction,0.9991261078786006
cross_model_stability,cross_model,7,calm,reliability,,,,,,,,,0.9988772498166627,raw,,,True,True,aligned versus misaligned full emotion direction,0.9988772498166627
cross_model_stability,cross_model,8,calm,reliability,,,,,,,,,0.9984867229672104,raw,,,True,True,aligned versus misaligned full emotion direction,0.9984867229672104
cross_model_stability,cross_model,9,calm,reliability,,,,,,,,,0.9979221111154413,raw,,,True,True,aligned versus misaligned full emotion direction,0.9979221111154413
cross_model_stability,cross_model,10,calm,reliability,,,,,,,,,0.996562723461942,raw,,,True,True,aligned versus misaligned full emotion direction,0.996562723461942
cross_model_stability,cross_model,11,calm,reliability,,,,,,,,,0.9968515152247426,raw,,,True,True,aligned versus misaligned full emotion direction,0.9968515152247426
cross_model_stability,cross_model,12,calm,reliability,,,,,,,,,0.9970675766751372,raw,,,True,True,aligned versus misaligned full emotion direction,0.9970675766751372
cross_model_stability,cross_model,13,calm,reliability,,,,,,,,,0.9972077336011896,raw,,,True,True,aligned versus misaligned full emotion direction,0.9972077336011896
cross_model_stability,cross_model,14,calm,reliability,,,,,,,,,0.9974560492318489,raw,,,True,True,aligned versus misaligned full emotion direction,0.9974560492318489
cross_model_stability,cross_model,15,calm,reliability,,,,,,,,,0.9975936743613196,raw,,,True,True,aligned versus misaligned full emotion direction,0.9975936743613196
cross_model_stability,cross_model,16,calm,reliability,,,,,,,,,0.9973182621547307,raw,,,True,True,aligned versus misaligned full emotion direction,0.9973182621547307
cross_model_stability,cross_model,17,calm,reliability,,,,,,,,,0.9972226613265007,raw,,,True,True,aligned versus misaligned full emotion direction,0.9972226613265007
cross_model_stability,cross_model,18,calm,reliability,,,,,,,,,0.9973435690453601,raw,,,True,True,aligned versus misaligned full emotion direction,0.9973435690453601
cross_model_stability,cross_model,19,calm,reliability,,,,,,,,,0.997214346975926,raw,,,True,True,aligned versus misaligned full emotion direction,0.997214346975926
cross_model_stability,cross_model,20,calm,reliability,,,,,,,,,0.997338570720216,raw,,,True,True,aligned versus misaligned full emotion direction,0.997338570720216
cross_model_stability,cross_model,21,calm,reliability,,,,,,,,,0.997336071904667,raw,,,True,True,aligned versus misaligned full emotion direction,0.997336071904667
cross_model_stability,cross_model,22,calm,reliability,,,,,,,,,0.9964595488598852,raw,,,True,True,aligned versus misaligned full emotion direction,0.9964595488598852
cross_model_stability,cross_model,23,calm,reliability,,,,,,,,,0.9965585474295187,raw,,,True,True,aligned versus misaligned full emotion direction,0.9965585474295187
cross_model_stability,cross_model,24,calm,reliability,,,,,,,,,0.9949256551281653,raw,,,True,True,aligned versus misaligned full emotion direction,0.9949256551281653
cross_model_stability,cross_model,25,calm,reliability,,,,,,,,,0.9951347967925191,raw,,,True,True,aligned versus misaligned full emotion direction,0.9951347967925191
cross_model_stability,cross_model,26,calm,reliability,,,,,,,,,0.9933956145888377,raw,,,True,True,aligned versus misaligned full emotion direction,0.9933956145888377
cross_model_stability,cross_model,27,calm,reliability,,,,,,,,,0.9927444809006063,raw,,,True,True,aligned versus misaligned full emotion direction,0.9927444809006063
cross_model_stability,cross_model,28,calm,reliability,,,,,,,,,0.9884992648585758,raw,,,True,True,aligned versus misaligned full emotion direction,0.9884992648585758
cross_model_stability,cross_model,29,calm,reliability,,,,,,,,,0.9869631914609117,raw,,,True,True,aligned versus misaligned full emotion direction,0.9869631914609117
cross_model_stability,cross_model,30,calm,reliability,,,,,,,,,0.9878765400772793,raw,,,True,True,aligned versus misaligned full emotion direction,0.9878765400772793
cross_model_stability,cross_model,31,calm,reliability,,,,,,,,,0.9900285066752662,raw,,,True,True,aligned versus misaligned full emotion direction,0.9900285066752662
cross_model_stability,cross_model,32,calm,reliability,,,,,,,,,0.9897850920378629,raw,,,True,True,aligned versus misaligned full emotion direction,0.9897850920378629
cross_model_stability,cross_model,33,calm,reliability,,,,,,,,,0.9901981597627337,raw,,,True,True,aligned versus misaligned full emotion direction,0.9901981597627337
