comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
individual,aligned,32,angry,cosine,0.27962619066238403,,0.2399838011711836,0.2921751864254475,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.1709177739918232,0.7768689315689085,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,33,angry,cosine,0.2600507438182831,,0.22435082867741585,0.2702597476541996,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.15532471016049385,0.781156830623548,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,34,angry,cosine,0.26649993658065796,,0.23026203103363516,0.2775420017540455,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.16188689097762107,0.7812325053921477,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,35,angry,cosine,0.2508520781993866,,0.21536338552832604,0.26220840960741043,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.15236402899026863,0.7832652539053924,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,36,angry,cosine,0.2399565875530243,,0.20713912844657897,0.25128648355603217,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.14269736260175697,0.7829144364470777,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,37,angry,cosine,0.2392139434814453,,0.20298110656440257,0.25268945619463923,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.14613128751516338,0.788095020120472,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,38,angry,cosine,0.24870732426643372,,0.21536514461040498,0.2604366198182106,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.14589608460664744,0.794711838676951,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,39,angry,cosine,0.22150985896587372,,0.1821880754083395,0.2385597910732031,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.13266479671001433,0.793621384111208,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,40,angry,cosine,0.22811351716518402,,0.19850087985396386,0.23695329129695894,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.1372143514454363,0.8083582922241731,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,41,angry,cosine,0.20639924705028534,,0.17237106673419475,0.22065203152596952,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.1273203551769256,0.809133691066931,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,42,angry,cosine,0.1936153769493103,,0.15484494902193546,0.2136139776557684,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.12492565698921679,0.8025333206096074,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,43,angry,cosine,0.20749828219413757,,0.17296922095119954,0.22014118432998658,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.12469405718147754,0.8037720485502842,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,44,angry,cosine,0.2120855301618576,,0.1834099493920803,0.22141975350677967,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.12859226912260055,0.8034271078435178,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,45,angry,cosine,0.21796122193336487,,0.18651137910783291,0.22598182931542396,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.1369091711938381,0.7931456682191204,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,46,angry,cosine,0.21384982764720917,,0.17579892836511138,0.22761788070201874,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.1374317348003387,0.792185214694668,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,47,angry,cosine,0.36543333530426025,,0.30604819133877753,0.38936898931860925,0.009950248756218905,0.03627432457963348,0.009950248756218905,0.25569867640733684,0.8268768917613094,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,0,anxious,cosine,0.0923926830291748,,0.02185391378588975,0.1243090745061636,0.05472636815920398,0.15302130126068686,0.014925373134328358,0.09243248924612997,0.40349592517216165,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,1,anxious,cosine,0.0678887739777565,,-0.00981726460158824,0.12583092413842684,0.15422885572139303,0.33649932157394846,0.014925373134328358,0.1016489841043949,0.3699842327725396,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,2,anxious,cosine,0.0827157273888588,,-0.025814109481871114,0.15880958549678328,0.12437810945273632,0.28887818969667794,0.014925373134328358,0.11286572776734828,0.3573569674737822,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,3,anxious,cosine,0.06285657733678818,,-0.05934068737551569,0.15765791386365893,0.21890547263681592,0.38677776760369925,0.014925373134328358,0.12422269918024537,0.37164205891639585,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,4,anxious,cosine,0.05238259583711624,,-0.05973382089287039,0.1378755357116461,0.24875621890547264,0.38935756002595723,0.014925373134328358,0.11481227874755859,0.377005265579405,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,5,anxious,cosine,0.054543040692806244,,-0.05940222041681409,0.1267635341733694,0.21890547263681592,0.38677776760369925,0.014925373134328358,0.09994333423674105,0.38534093192010965,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,6,anxious,cosine,0.035664357244968414,,-0.056279784534126485,0.10281829517334701,0.2935323383084577,0.40642939150401836,0.014925373134328358,0.09733287766575813,0.41278044961073307,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,7,anxious,cosine,0.035687562078237534,,-0.055110436864197254,0.09800550322979688,0.25870646766169153,0.3984356293399314,0.014925373134328358,0.0905625328421592,0.41067362118070583,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,8,anxious,cosine,0.0423702597618103,,-0.05134466839954256,0.10006537921726705,0.24378109452736318,0.38935756002595723,0.014925373134328358,0.09773680754005908,0.41544282514875747,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,9,anxious,cosine,0.027454923838377,,-0.05045693432912228,0.07755951881408694,0.3482587064676617,0.43046569726474926,0.014925373134328358,0.09372228644788261,0.4917179445909339,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,10,anxious,cosine,0.03806908801198006,,-0.049859580863267174,0.09322092719376088,0.3034825870646766,0.412278231484089,0.014925373134328358,0.10344775728881347,0.5091986386570151,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,11,anxious,cosine,0.03496003523468971,,-0.05569846509024496,0.09837029576301574,0.31343283582089554,0.41791044776119407,0.014925373134328358,0.11351955458521838,0.5096681486262833,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,12,anxious,cosine,0.020338332280516624,,-0.08529639355838296,0.09533244166523219,0.39303482587064675,0.4509722304810608,0.014925373134328358,0.13062831014394752,0.5022288541686969,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,13,anxious,cosine,0.02636462077498436,,-0.08178565446287392,0.10376040972769261,0.3681592039800995,0.43862321047822117,0.014925373134328358,0.12536562345921973,0.5323218170580493,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,14,anxious,cosine,0.001384875737130642,,-0.10569279883056878,0.0812394179403782,0.5074626865671642,0.5373134328358209,0.014925373134328358,0.12793572768568992,0.5513734171822818,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,15,anxious,cosine,-0.012694800272583961,,-0.08731116950511927,0.055224438849836605,0.5572139303482587,0.5690695458875834,0.014925373134328358,0.11414815485477442,0.5961024836315074,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,16,anxious,cosine,-0.005364237353205681,,-0.10386253856122489,0.0771243402734399,0.5223880597014925,0.5490794204161673,0.014925373134328358,0.13287851065397246,0.6086000769660066,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,17,anxious,cosine,-0.011005650274455547,,-0.09718704242259256,0.07045097555965187,0.527363184079602,0.5522930800542741,0.014925373134328358,0.1336161136627197,0.6264691588379014,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,18,anxious,cosine,-0.011328534223139286,,-0.0988155264407396,0.06907595489174129,0.5422885572139303,0.5638234818686352,0.014925373134328358,0.13388697579503045,0.6278531673380875,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,19,anxious,cosine,-0.017045821994543076,,-0.09887494947761293,0.0650139581412077,0.5522388059701493,0.5690695458875834,0.014925373134328358,0.13666616529226297,0.6132613718926829,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,20,anxious,cosine,-0.013158591464161873,,-0.09913930147886271,0.07742519825696946,0.5572139303482587,0.5690695458875834,0.014925373134328358,0.15135362073779104,0.6202251553518955,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,21,anxious,cosine,-0.003771325573325157,,-0.08122409991919989,0.06829626057296992,0.5422885572139303,0.5638234818686352,0.014925373134328358,0.14304530099034307,0.5969696962826867,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,22,anxious,cosine,0.024218762293457985,,-0.04476243797689671,0.08445297088474038,0.39303482587064675,0.4509722304810608,0.014925373134328358,0.1324573196470737,0.5699773461565439,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,23,anxious,cosine,0.032774411141872406,,-0.04100677771493788,0.09388280529528857,0.373134328358209,0.43862321047822117,0.014925373134328358,0.14570641592144964,0.5397781018961397,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
individual,aligned,24,anxious,cosine,0.04798518121242523,,-0.01940055396407842,0.09415136314928535,0.29850746268656714,0.4074414656574945,0.014925373134328358,0.13401283025741575,0.5227311396081371,raw,,,True,True,control=emotion_label_permutation;family_max_stat_p=0.014925373134328358
