comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
subspace,aligned,45,all_six_negative,explained_fraction,0.2296650595021139,0.05274603955610947,0.04647553657516546,0.06021905120480081,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024108909214062713,0.7198273613297953,raw,6.0,6.840535865427579,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,46,all_six_negative,explained_fraction,0.22671333346353217,0.051398935570146756,0.0452061943800005,0.06069876751436555,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002940862537851342,0.7193075237795056,raw,6.0,6.901380576206245,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,aligned,47,all_six_negative,explained_fraction,0.39948785948995014,0.15959054987986224,0.14080188569674879,0.1827230000539814,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002594966718542723,0.7687557810751308,raw,6.0,8.843653694662432,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,0,all_six_negative,explained_fraction,0.14958277775736498,0.02237500740160924,0.013003853550715094,0.0317898588137759,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002530291617767297,0.4777551788049653,raw,6.0,3.508867690845192,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,1,all_six_negative,explained_fraction,0.16364555084679935,0.02677986631195237,0.01445107359791479,0.04128163787156278,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024500178861398356,0.5126745263470699,raw,6.0,3.7084281389944924,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,2,all_six_negative,explained_fraction,0.20614560865491896,0.04249601196770705,0.023096821677634837,0.06259802321998426,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0025263077556273396,0.5464227906934396,raw,6.0,4.005534045473091,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,3,all_six_negative,explained_fraction,0.2154305483380996,0.046410321157254346,0.026352386537142024,0.07494398532135353,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0028543468437575038,0.5623836870148786,raw,6.0,4.019494585573372,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,4,all_six_negative,explained_fraction,0.2425222164126437,0.05881702545370117,0.034031373957332266,0.07432018011374039,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002271288440782413,0.5479754382033692,raw,6.0,3.8542835590754687,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,5,all_six_negative,explained_fraction,0.23822813305087595,0.05675264337690578,0.03551478001403168,0.06744417840555189,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002590444451315153,0.5557138884825746,raw,6.0,3.8563226175480207,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,6,all_six_negative,explained_fraction,0.2414096596897174,0.058278623791505224,0.03437355945928374,0.06624374839964418,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002494379632805657,0.5796938399073367,raw,6.0,3.9673418537770972,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,7,all_six_negative,explained_fraction,0.23394565507790774,0.05473056952983141,0.03375828478749551,0.06195578794296962,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002394686589044196,0.5961428337083059,raw,6.0,4.210223563655546,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,8,all_six_negative,explained_fraction,0.24061033301037507,0.05789333235136355,0.0395128870894568,0.06620865247948382,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024124836573671898,0.5894030631816254,raw,6.0,4.37965210510855,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,9,all_six_negative,explained_fraction,0.2135557990809549,0.04560607932110519,0.0313869323203785,0.05539874692951649,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0027057093975663645,0.5903535855929661,raw,6.0,4.506412600959058,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,10,all_six_negative,explained_fraction,0.23263627108107213,0.05411963462250601,0.037529147417690305,0.06024614384421404,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002583312754338031,0.6047019965975649,raw,6.0,5.029088743358415,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,11,all_six_negative,explained_fraction,0.24696487767193298,0.06099165080351276,0.04035633652308042,0.06773630887755815,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024144754309890874,0.6033974683798888,raw,6.0,4.968510859125796,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,12,all_six_negative,explained_fraction,0.2676461925430935,0.07163448438281482,0.04872331937291452,0.07900359083869345,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002711180867152037,0.5950841321585247,raw,6.0,4.9292532107305735,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,13,all_six_negative,explained_fraction,0.27159288812429005,0.07376269687969321,0.05049090628281368,0.08170928835153007,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0025292885829734852,0.6068031057399395,raw,6.0,5.312469022837261,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,14,all_six_negative,explained_fraction,0.2817447063593489,0.07938007956151576,0.05485694770297819,0.08978431463698341,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002637364143862166,0.6129936752089338,raw,6.0,5.482830700813889,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,15,all_six_negative,explained_fraction,0.2558961848139585,0.06548285740233963,0.046410408466229146,0.07493367914489908,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002499714905523969,0.6342467476079561,raw,6.0,5.613599185855777,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,16,all_six_negative,explained_fraction,0.29602452367838283,0.0876305186190134,0.06033209460852014,0.10112204138276175,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0022878658878695466,0.6518021589770279,raw,6.0,5.938781866556795,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,17,all_six_negative,explained_fraction,0.30427612432885776,0.0925839598365904,0.06346449926909198,0.10404296141777433,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0022435136876135125,0.6561438950377558,raw,6.0,5.859011658765634,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,18,all_six_negative,explained_fraction,0.29557570862276733,0.08736499952785101,0.06122878887529432,0.09892530255290037,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024994257237967265,0.6599302312148219,raw,6.0,5.808522729140334,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,19,all_six_negative,explained_fraction,0.3099670537862132,0.0960795744329053,0.06603364550185749,0.10695975185331313,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.00253165865212028,0.6553408516789555,raw,6.0,5.917749426398215,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,20,all_six_negative,explained_fraction,0.3209831912795032,0.1030302090839741,0.07012518723866523,0.11499789505071382,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0026199711394259296,0.6549269411650467,raw,6.0,5.922816003305712,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,21,all_six_negative,explained_fraction,0.3246038996808925,0.10536769168804282,0.07549924963007101,0.11437607872436877,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024777455326988385,0.6445076015127453,raw,6.0,5.867596578553605,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,22,all_six_negative,explained_fraction,0.32766759019314545,0.10736604966298302,0.07932450165490006,0.1142147602192829,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002480589192985925,0.6467384640089138,raw,6.0,5.9630412566925655,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,23,all_six_negative,explained_fraction,0.34250237260942895,0.11730787524308799,0.08860953625228754,0.12298907279384275,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0026063196829867845,0.6508541827926169,raw,6.0,6.046750411425139,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,24,all_six_negative,explained_fraction,0.34158504535264955,0.11668034320857162,0.09142272864977005,0.12242415422534758,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0023979679589586837,0.6527972372095868,raw,6.0,6.03128705132231,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,25,all_six_negative,explained_fraction,0.3288130078615807,0.10811799413897988,0.0832530067774223,0.11778384514379461,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0022187629066802226,0.6545164236395145,raw,6.0,6.046738237895527,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,26,all_six_negative,explained_fraction,0.34709928885363706,0.12047791632270048,0.09235919703244286,0.1328982507430748,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0022269538744869337,0.6478713033647012,raw,6.0,5.9136945713293265,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,27,all_six_negative,explained_fraction,0.3632954824258274,0.13198360755101443,0.09754931097954277,0.1443398783496476,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024222005494872285,0.6466934170713237,raw,6.0,6.021448412424579,True,True,control=matched_random_subspace;method=exact_rotational_beta
