comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
centroid,aligned,23,all_six_negative,cosine,0.15264567732810974,,0.11439383272081614,0.18042334131896498,0.03482587064676617,0.053492537313432835,0.009950248756218905,0.13533559143543242,0.6450254750937606,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,24,all_six_negative,cosine,0.1700076013803482,,0.1397222623229027,0.1947708785533905,0.004975124378109453,0.016190235264356184,0.009950248756218905,0.13466730788350104,0.654386848590626,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,25,all_six_negative,cosine,0.1665477752685547,,0.14101915545761587,0.19237748384475709,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.13481968641281128,0.6557484678122052,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,26,all_six_negative,cosine,0.17844711244106293,,0.14350929856300354,0.20776418820023537,0.014925373134328358,0.0255863539445629,0.009950248756218905,0.14239972904324522,0.6493859877347263,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,27,all_six_negative,cosine,0.18692030012607574,,0.15052294433116914,0.21700228564441204,0.01990049751243781,0.032657226687077434,0.009950248756218905,0.1466556422412395,0.64961787573541,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,28,all_six_negative,cosine,0.18973411619663239,,0.15523407310247422,0.21776114702224733,0.014925373134328358,0.0255863539445629,0.009950248756218905,0.13924728706479067,0.6517495521852541,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,29,all_six_negative,cosine,0.16809482872486115,,0.13656412176787855,0.19617579579353334,0.014925373134328358,0.0255863539445629,0.009950248756218905,0.13318780958652496,0.6473700203815465,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,30,all_six_negative,cosine,0.1738048642873764,,0.13590814843773844,0.20315638072788716,0.024875621890547265,0.039472061181694836,0.009950248756218905,0.1389438338577747,0.6565686597646716,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,31,all_six_negative,cosine,0.18031729757785797,,0.1437580667436123,0.21265178807079793,0.03482587064676617,0.053492537313432835,0.009950248756218905,0.1479178063571453,0.6895288758037941,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,32,all_six_negative,cosine,0.17932908236980438,,0.14562816321849822,0.20895231552422047,0.01990049751243781,0.032657226687077434,0.009950248756218905,0.1433628968894481,0.6851468090832906,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
